"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000018625",NA,NA,NA,NA,NA,1.09276881049142e-05,NA,NA,4.76519449069589e-08,NA,NA,NA
"ENSG00000014919",NA,2.25966120766037e-06,2.15864806528689e-06,NA,1.21602070313547e-06,3.99678271967148e-07,NA,NA,6.37861927657101e-07,NA,NA,NA
"ENSG00000009307",5.69627850672833e-07,5.7001432100814e-07,3.31709504061855e-05,7.24448173826338e-07,3.07241590740224e-05,1.30635985236041e-05,1.60376700757841e-05,3.3208399040969e-06,1.04574406627295e-05,1.8233500739734e-05,9.85468845281878e-07,6.47082963797e-06
"ENSG00000005020",NA,NA,NA,4.08921253120364e-06,NA,NA,NA,NA,NA,NA,3.84577802923384e-05,NA
"ENSG00000007168",4.75142576113382e-05,2.05971668942622e-05,5.58557504305017e-05,4.22668024488361e-05,9.92576482327639e-05,0.000104699123993974,0.000136031251930242,3.71115572242197e-05,4.69226690893132e-05,9.5340238497991e-05,9.02388743013359e-05,5.58588381189693e-05
"ENSG00000013561",NA,NA,2.90137811596089e-06,NA,2.61586199386881e-06,1.32521660205339e-06,NA,4.21480385888806e-07,4.11451145728462e-06,5.12393187536843e-07,NA,NA
"ENSG00000015133",NA,NA,5.79566528675732e-07,NA,9.04935809172915e-07,1.86928917932651e-06,NA,NA,NA,3.72510083337564e-06,6.81147456118478e-07,NA
"ENSG00000011304",0.000128029796738332,0.00020528926745414,0.00118619817083943,0.000556003345805228,0.000928556933060805,0.000287569918276885,0.00156650364589545,9.85513096499015e-05,0.000200140057858948,0.00114455773577006,0.000601530518421818,0.000559325384685606
"ENSG00000011465",0.000505600450221209,7.32006054214917e-05,0.00025555341036627,0.00090249956655833,0.00055301676961654,0.00163684479602975,0.00102042281695743,0.000975897934920501,4.67979644313256e-05,0.000446297597539312,NA,0.0011688415136437
"ENSG00000005007",1.23632472586611e-06,2.59917872781e-05,0.000122137240903329,3.20194286378181e-05,9.87920132803914e-05,1.33104540651882e-05,3.80660974438597e-05,9.06946556061329e-06,1.19036471785255e-05,4.7865769377316e-05,0.000100891866370241,2.71143384653715e-05
"ENSG00000014824",NA,2.77909203169774e-06,2.52671486864768e-06,NA,4.03636236348142e-06,NA,NA,NA,1.15037728850517e-07,4.61993857100874e-07,NA,NA
"ENSG00000002549",6.74570552956205e-05,0.000573624679433398,0.00026524797437507,0.000164224553210743,0.000348807224928141,9.61337593704549e-05,0.000386098687241953,3.72690125340013e-05,0.000198384819650337,0.000280333881951012,0.00145466584873176,0.000343389267239577
"ENSG00000004864",NA,0.000132935939130197,1.50416667292152e-05,NA,2.68157228261675e-05,NA,NA,NA,2.12954034317748e-05,5.0641815538755e-06,NA,1.96365456707043e-06
"ENSG00000021355",0.000318537130897909,0.000158072988840379,0.00150964976243972,0.000691704992045651,0.00250603408146773,0.00021617844272017,0.000981103332776507,0.000347775741294259,0.000599347120296728,0.000810993194841355,0.00260394910765271,0.00244394146567599
"ENSG00000008018",5.06315978239943e-05,0.000142548122633079,0.000195185349203314,5.92009528735704e-05,6.95590532015016e-05,2.55427950085027e-05,0.000137531407628473,1.59197760482939e-05,9.17885981279027e-05,0.000156233482697482,0.000151477400292241,8.89446183593262e-05
"ENSG00000014123",1.03112369983152e-05,8.15468025454598e-06,0.000110095489060448,2.81183248491984e-05,9.52099944848652e-05,1.94398870387397e-05,3.45473669551194e-05,5.21778873730148e-06,2.45218895513036e-05,0.000124796867399856,2.44807566030414e-05,6.58770416485697e-06
"ENSG00000012223",1.6241613185255e-05,NA,6.84919746078101e-06,0.000439420794519475,0.000494017181976277,6.30861637650305e-05,2.85020176051233e-07,0.000443113624935642,5.01222602317769e-05,0.00087671106533456,0.00127255325748719,6.23479483560922e-05
"ENSG00000008441",NA,NA,NA,NA,NA,1.62374879579643e-06,2.09469751744644e-05,NA,NA,1.18562423496419e-06,NA,NA
"ENSG00000005961",2.30589141284931e-06,NA,2.43015173424058e-07,2.81220690333262e-06,3.34820054688381e-07,NA,NA,8.04714705918272e-06,1.31844577243241e-05,NA,0.000146293029647065,2.65420750595315e-06
"ENSG00000019144",NA,NA,3.32715648215533e-07,NA,NA,NA,5.89021509015986e-08,NA,NA,NA,NA,1.61900074276873e-07
"ENSG00000002822",NA,NA,3.4600834484331e-06,NA,1.88501545811999e-06,NA,2.75569473836722e-06,4.55351832842849e-07,1.55080041302169e-06,2.78094478413112e-06,1.15509145741108e-06,NA
"ENSG00000011295",2.14417965548167e-06,NA,5.29676319314148e-06,NA,3.69698542999377e-06,NA,NA,NA,7.64913109213131e-06,1.59373880813164e-06,NA,5.87126873485071e-07
"ENSG00000006530",NA,1.74133114191583e-05,1.83594262943624e-06,NA,2.42998554967769e-05,1.83682068301842e-05,6.30863027802096e-06,NA,1.87545701205818e-06,1.59185883441835e-06,NA,1.6842097260166e-06
"ENSG00000005187",NA,0.000104950796280262,NA,NA,1.1467496810183e-06,NA,NA,NA,NA,NA,NA,NA
"ENSG00000015475",2.44599700540046e-06,7.38126667377269e-07,4.54384210952298e-06,5.5194664266886e-06,1.04127677537486e-05,4.00740260352094e-06,1.37731130754184e-05,4.1328969244811e-07,4.61600831010692e-06,1.53600686242747e-05,1.64547615042401e-05,8.15033374747535e-06
"ENSG00000011376",9.77578967043634e-07,2.4207565576587e-05,1.27926933599442e-05,3.56670992273119e-07,1.79129411870708e-05,6.7942677868605e-06,1.02128684057947e-05,1.32855427744319e-06,1.84162566635489e-05,2.34852452628933e-05,1.42781517045084e-05,8.54371287940746e-07
"ENSG00000005893",6.63765995671305e-05,6.84559464102184e-05,0.000427318622758948,7.91167245366801e-05,0.000351224555060744,2.77172312344649e-05,6.71705046264209e-05,7.43384630840947e-05,0.000213472664573183,0.000186242058424877,0.000377481346903877,2.61946847420638e-05
