"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000007168",4.59000000489062e-05,3.79000000027863e-05,0.000123300000114775,1.62000000170607e-05,3.81000000284574e-05,3.49999999717711e-05,3.88999999708262e-05,5.20999999640676e-05,3.81000000284574e-05,2.62999999703413e-05,3.64000000294141e-05,4.32999999647688e-05
"ENSG00000013561",2.97999999947676e-05,4.38999999755255e-05,7.07000000330633e-05,1.48999999858555e-05,2.55999999816177e-05,3.37000000099838e-05,2.42000000010904e-05,4.9400000008685e-05,4.27999999987019e-05,2.23999999827646e-05,2.18000000198474e-05,2.55999999816177e-05
"ENSG00000015133",8.79999999695717e-06,8.1000000022633e-06,1.20999999911833e-05,4.30000000416256e-06,1.85999999906671e-05,1.22999999875555e-05,2.69999999901158e-06,2.79999999779363e-06,4.70000000069567e-06,1.03000000069923e-05,3.3599999969839e-05,1.58999999882679e-05
"ENSG00000011304",9.79000000443773e-05,9.25000000555832e-05,7.18999999366116e-05,6.41000000710205e-05,0.000101499999941751,7.40000000458393e-05,0.000105099999993165,0.000106699999895714,6.70999999738901e-05,8.90000000727681e-05,0.000111199999937002,0.000106100000024103
"ENSG00000011465",0.000965199999473838,0.000262899999935613,0.00028509999979685,0.000121099999960111,0.000246100000168412,0.000383899999896218,0.00187889999817874,0.00014169999991926,0.000873499999358494,0.000181299999960129,1.27000000012879e-05,0.000622900000180517
"ENSG00000005007",2.00000000154742e-05,2.32999999986041e-05,3.59000000348573e-05,2.10000000128661e-05,2.44999999794355e-05,2.45999999941442e-05,2.31000000057368e-05,2.23999999827646e-05,1.87999999885857e-05,2.78999999824235e-05,2.8199999979263e-05,1.94000000031168e-05
"ENSG00000014824",2.68999999998508e-05,6.93999999273145e-05,2.32999999986041e-05,1.82000000006255e-05,3.30000000092788e-05,3.68000000276645e-05,2.54999999745199e-05,4.92999999685295e-05,4.10000000264586e-05,2.54000000222282e-05,1.82000000006255e-05,3.18999999957999e-05
"ENSG00000002549",3.64000000294141e-05,8.580000002989e-05,5.03999999482967e-05,1.43999999968418e-05,4.86999999759318e-05,3.56000000022235e-05,2.17000000075684e-05,4.56999999926498e-05,4.89999999967829e-05,4.88999999860808e-05,7.8400000056966e-05,4.22999999634711e-05
"ENSG00000004864",1.13999999911678e-05,2.71000000078371e-05,1.03000000069923e-05,5.09999999884992e-06,1.43999999968418e-05,9.40000000866424e-06,9.40000000866424e-06,1.6699999994325e-05,1.53000000064259e-05,5.20000000437271e-06,1.12000000085057e-05,1.17999999916824e-05
"ENSG00000021355",2.43000000224756e-05,2.58000000021844e-05,1.17000000068385e-05,9.62999999723859e-05,0.00012960000013889,1.47999999865405e-05,2.55999999816177e-05,4.07999999915562e-05,5.63000000192708e-05,6.98000000605657e-05,4.87999999996954e-05,0.000580699999955442
"ENSG00000008018",0.000124699999862595,0.000125500000052866,8.96999999908932e-05,5.20000000437271e-05,0.000100099999889522,0.000112399999939686,0.000101700000018091,0.000129999999908153,0.000134700000085918,8.68999999102242e-05,1e-04,0.000134300000102445
"ENSG00000014123",1.9200000013106e-05,1.9599999983912e-05,1.63999999981988e-05,1.22999999875555e-05,1.92999999996545e-05,2.44999999794355e-05,1.87999999885857e-05,2.91000000009443e-05,2.17000000075684e-05,1.69999999851929e-05,1.54999999939223e-05,2.18000000198474e-05
"ENSG00000012223",2.6000000001747e-06,8.70000000764002e-06,NA,6.40000000023745e-06,0.000275499999880864,0.000115900000009715,NA,7.69999999694191e-06,1.09999999959924e-06,0.000623799999395116,2.12999999784821e-05,4.89999999967829e-06
"ENSG00000008441",6.31999999589064e-05,1.18999999892444e-05,2.26999999899057e-05,1.09999999959924e-05,3.13000000326879e-05,8.60999999100618e-05,7.64000000746436e-05,3.20999999700747e-05,1.22000000091368e-05,0.00010060000006488,1.11000000054528e-05,6.38999999766938e-05
"ENSG00000005961",2.6000000001747e-06,NA,4.19999999615196e-06,NA,NA,NA,1.49999999980768e-06,3.60000000192903e-06,NA,NA,1.90000000020637e-06,NA
"ENSG00000019144",6.93999999273145e-05,3.19999999764285e-05,2.29999999990683e-05,1.969999999267e-05,2.75999999958553e-05,3.0699999966268e-05,3.88000000362536e-05,2.7500000010748e-05,2.8399999996924e-05,1.40000000103724e-05,2.95000000014833e-05,2.10000000128661e-05
"ENSG00000002822",9.6999999940534e-06,6.99999999977021e-06,2.39000000028541e-05,3.30000000092788e-06,8.19999999275497e-06,8.3999999988031e-06,7.80000000555902e-06,1.02000000055917e-05,5.4000000022012e-06,7.19999999285017e-06,2.00000000154742e-05,9.6999999940534e-06
"ENSG00000011295",1.87000000199576e-05,3.30000000092788e-05,1.04999999983091e-05,1.41000000111886e-05,2.1200000003478e-05,2.6000000001747e-05,1.63999999981988e-05,3.9600000006792e-05,3.22999999753747e-05,1.8399999999596e-05,1.58000000016581e-05,1.75000000126408e-05
"ENSG00000006530",1.27000000012879e-05,1.20999999911833e-05,7.59999999508625e-06,4.60000000337273e-06,9.59999999912535e-06,1.07999999878906e-05,1.13999999911678e-05,1.1599999993939e-05,1.37999999872504e-05,8.0000000001484e-06,1.12000000085057e-05,1.09999999959924e-05
"ENSG00000005187",1.07999999878906e-05,8.5099999983425e-05,1.76999999852543e-05,2.24999999942305e-05,2.42000000010904e-05,3.13000000326879e-05,0.000122200000026299,1.79999999957183e-06,4.19999999615196e-06,3.89999999976203e-06,2.10000000128661e-06,2.69999999901158e-06
"ENSG00000015475",6.40000000023745e-06,6.40000000023745e-06,3.39999999966919e-06,4.99999999613144e-06,1.28999999911113e-05,6.90000000417445e-06,3.19999999764285e-06,5.30000000487185e-06,6.29999999342021e-06,5.80000000583697e-06,2.8199999979263e-05,5.80000000583697e-06
"ENSG00000011376",7.10000000459266e-06,1.27000000012879e-05,5.4000000022012e-06,3.49999999717711e-06,5.59999999992005e-06,7.29999999797527e-06,6.50000000534531e-06,7.10000000459266e-06,8.59999999517681e-06,4.10000000264587e-06,5.4000000022012e-06,6.19999999288691e-06
"ENSG00000005893",6.78999999561448e-05,0.000127800000052268,4.84000000396285e-05,4.52000000196308e-05,7.0299999996791e-05,0.000117999999916824,6.52999999586402e-05,0.000111100000015127,7.1500000032749e-05,0.000121300000037267,5.36000000379179e-05,9.33000000544597e-05
"ENSG00000012983",4.11999999968566e-05,1.25999999965892e-05,1.07999999878906e-05,6.29999999342021e-06,1.76000000075317e-05,2.05999999824898e-05,3.19999999764285e-05,1.969999999267e-05,1.5699999985206e-05,1.35999999884066e-05,1.88999999924606e-05,2.37999999969031e-05
"ENSG00000005381",NA,NA,NA,NA,NA,NA,NA,NA,1e-06,1.19999999986841e-05,2.40000000159372e-06,NA
"ENSG00000007237",1.50999999898068e-05,1.49999999980768e-06,2.36999999994486e-05,1.60000000126762e-06,5.99999999469977e-06,4.60000000337273e-06,8.70000000764002e-06,2.90000000067472e-06,9.40000000866424e-06,3.89999999976203e-06,1.5400000005799e-05,3.04000000273867e-05
"ENSG00000015676",4.34000000487159e-05,3.29000000037897e-05,3.79000000027863e-05,1.5699999985206e-05,3.13000000326879e-05,3.68000000276645e-05,5.18000000303871e-05,5.46000000371208e-05,3.04000000273867e-05,2.31000000057368e-05,2.8199999979263e-05,6.28000000380021e-05
"ENSG00000014216",4.81999999734914e-05,4.18000000216524e-05,9.6999999940534e-06,3.18999999957999e-05,6.62999999382068e-05,5.56000000535066e-05,4.41999999644714e-05,0.000102600000052967,2.87000000175789e-05,7.05999999915786e-05,4.85999999706479e-05,0.00026990000027561
"ENSG00000006451",2.31000000057368e-05,1.60000000126762e-05,1.68000000106046e-05,6.90000000417445e-06,3.22999999753747e-05,1.48999999858555e-05,1.969999999267e-05,1.77999999873397e-05,3.03000000347233e-05,1.1599999993939e-05,1.5699999985206e-05,5.20000000437271e-05
"ENSG00000013375",1.8100000005452e-05,1.25999999965892e-05,3.81000000284574e-05,1.52000000019329e-05,2.19000000080623e-05,4.7099999986021e-05,1.98999999812267e-05,2.76999999958894e-05,2.66000000225967e-05,2.32999999986041e-05,1.27000000012879e-05,1.60000000126762e-05
"ENSG00000002586",0.000171799999804097,4.40999999524938e-05,0.000178099999810028,8.79999999695717e-05,8.7699999926083e-05,0.00018729999983817,0.000198699999949757,5.47999999388815e-05,6.40000000023745e-05,5.94000000025722e-05,0.000118800000097061,0.000151099999882046
"ENSG00000008283",1.53000000064259e-05,2.1500000004178e-05,6.19999999288691e-06,4.21000000159301e-05,5.09999999884991e-05,6.80000000459963e-05,1.12999999874218e-05,4.50000000232781e-05,0.000115400000047906,4.52000000196308e-05,9.59999999912535e-06,3.13999999947065e-05
